0:0:0:0:0:0:0:1 - - [16/May/2018:13:27:05 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:27:07 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [16/May/2018:13:27:09 +0800] "POST /springmvc/deletePack.do HTTP/1.1" 500 366
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:52 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:53 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:53 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:53 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:53 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:54 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [16/May/2018:13:28:55 +0800] "POST /springmvc/deletePack.do HTTP/1.1" 500 366
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:20 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:20 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:20 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:20 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:20 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:21 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [16/May/2018:13:30:22 +0800] "POST /springmvc/deletePack.do HTTP/1.1" 500 366
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:27 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:27 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:28 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:28 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:28 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:29 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [16/May/2018:13:31:30 +0800] "POST /springmvc/deletePack.do HTTP/1.1" 200 27
