127.0.0.1 - - [15/May/2018:22:47:41 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:19 +0800] "POST /springmvc/login.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:20 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:20 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:20 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:20 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:20 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [15/May/2018:22:48:24 +0800] "POST /springmvc/packpoint.do HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [15/May/2018:23:04:36 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:04:42 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:04:45 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:04:52 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:05:32 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:05:32 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [15/May/2018:23:11:27 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [15/May/2018:23:13:20 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [15/May/2018:23:14:26 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [15/May/2018:23:15:17 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
