127.0.0.1 - - [18/Apr/2018:16:31:07 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Apr/2018:16:48:58 +0800] "POST /springmvc/selectPackLogisticInfo.do HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [18/Apr/2018:16:52:30 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:03:06 +0800] "POST /springmvc/city.do HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:03:09 +0800] "POST /springmvc/city.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:03:11 +0800] "POST /springmvc/city.do HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:03:28 +0800] "POST /springmvc/city.do HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:20:48 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:30:41 +0800] "POST /springmvc/cash.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:30:53 +0800] "POST /springmvc/cash.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:30:59 +0800] "POST /springmvc/cash.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [18/Apr/2018:17:31:07 +0800] "POST /springmvc/cash.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:34:36 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:34:36 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:34:37 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:36:40 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:43:15 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [18/Apr/2018:19:43:21 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:10 +0800] "POST /springmvc/login.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:20 +0800] "POST /springmvc/login.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:21 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:21 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:21 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:21 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [18/Apr/2018:20:15:21 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [18/Apr/2018:21:31:51 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [18/Apr/2018:21:37:26 +0800] "GET /springmvc/packstate.do?type=dispatch&page=1&limit=10 HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [18/Apr/2018:21:37:28 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:04 +0800] "POST /springmvc/packpoint.do HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:20 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:22 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:23 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:24 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:25 +0800] "POST /springmvc/insertlogistic.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:06:31 +0800] "POST /springmvc/packstate.do HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [18/Apr/2018:22:21:41 +0800] "GET /springmvc/selectByPhoneOrNumber.do?packnumber=958753544273332&phone=&page=1&limit=10 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [18/Apr/2018:23:09:19 +0800] "GET /springmvc/selectByPhoneOthers.do?sendpoint=%E8%BE%BD%E5%AE%81&receivepoint=&senddate=&page=1&limit=10 HTTP/1.1" 200 1994
